,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,hitouts,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.45,113.32,4.53,113.14
Melbourne,Round 2,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.39,96.34,-22.0,84.43
Adelaide Crows,Round 3,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.17,108.1,-37.18,68.0
Sydney Swans,Round 4,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,7.94,100.32,-15.07,91.93
Gold Coast SUNS,Round 5,3.32,0.4,14.47,-6.66,7.33,13.43,19.66,10.0,13.56,3.49,104.63,-26.82,79.21
Carlton,Round 6,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-3.9,112.67,-11.83,95.43
Port Adelaide,Round 7,-14.77,7.28,3.41,24.86,-29.73,49.43,-21.95,-14.06,0.24,-0.9,109.26,7.04,115.86
Essendon,Round 8,2.21,2.45,-7.44,25.71,28.44,-18.64,-2.97,71.88,18.99,13.96,95.02,-23.32,83.0
Brisbane Lions,Round 9,20.54,18.29,11.48,-5.71,46.46,-10.18,12.18,358.3,-9.49,4.23,103.89,-19.89,86.71
Richmond,Round 10,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.68,109.02,4.92,113.57
Collingwood,Round 11,2.21,-1.16,8.27,15.86,-11.47,-23.45,79.5,-8.33,8.67,10.2,98.26,-16.85,90.0
West Coast Eagles,Round 13,-17.01,-11.92,-13.32,1.54,-3.86,-19.06,-33.52,-19.12,-11.69,-10.09,120.44,5.32,114.0
Fremantle,Round 14,-2.39,1.85,-8.57,-12.42,7.33,15.97,-7.95,-37.5,-7.01,-7.21,116.69,-23.45,82.86
Carlton,Round 15,0.45,-4.24,23.41,-19.3,-23.56,-21.51,38.08,52.79,-1.91,-3.9,112.67,-11.83,95.43
Hawthorn,Round 16,-3.5,0.11,-7.72,-16.38,1.09,-10.18,49.59,52.79,-4.0,-5.77,114.91,-9.4,98.07
Western Bulldogs,Round 17,6.96,-0.03,-4.49,12.33,3.09,13.43,28.22,-29.49,-20.55,-4.45,113.32,4.53,113.14
Melbourne,Round 18,8.96,11.01,7.87,-2.22,28.44,-27.38,-2.97,-16.67,17.8,12.39,96.34,-22.0,84.43
Sydney Swans,Round 19,-10.98,9.29,-0.37,23.2,-17.53,5.72,-12.44,-5.17,19.05,7.94,100.32,-15.07,91.93
Geelong Cats,Round 20,-7.73,-15.51,-5.99,1.82,13.55,0.91,43.6,19.56,-19.74,-10.65,121.19,5.59,114.29
St Kilda,Round 21,12.17,3.2,6.35,-16.76,-10.46,5.72,-12.44,30.96,3.97,-1.26,109.66,5.72,114.43
GWS GIANTS,Round 22,-3.99,-8.24,-1.99,5.3,6.6,87.23,28.22,-27.63,4.08,-2.59,111.16,-8.67,98.86
Richmond,Round 23,0.98,-7.88,-24.46,11.99,1.75,32.82,-38.1,-14.06,11.1,-0.68,109.02,4.92,113.57
Adelaide Crows,Round 24,7.41,8.27,26.53,-8.52,13.55,32.82,139.35,-29.49,-4.93,0.17,108.1,-37.18,68.0
